game,Treatment,Session,GroupID,group_relative_contribution,surplus,gini,success
linear,FE,2,37,0.488020833333,1.07364583333,0.0522417709278,
linear,FE,2,38,1,2.2,0,
linear,FE,2,39,0.218229166667,0.480104166667,0.034868136245,
linear,FE,2,40,0.684895833333,1.50677083333,0.0527290455277,
linear,FE,2,41,0.119270833333,0.262395833333,0.039555814999,
linear,FE,2,42,0.982291666667,2.16104166667,0.00480572293665,
linear,FE,2,43,0.181770833333,0.399895833333,0.0566149600156,
linear,FE,2,44,0.913020833333,2.00864583333,0.0187865168642,
linear,FE,2,45,0.9046875,1.9903125,0.0150468204793,
linear,FE,2,46,0.989583333333,2.17708333333,0.00270856331809,
linear,FE,2,47,0.6265625,1.3784375,0.031086998306,
linear,FE,2,48,0.961979166667,2.11635416667,0.00690005732663,
linear,FE,2,49,0.986979166667,2.17135416667,0.00252628557075,
linear,FE,2,50,0.620833333333,1.36583333333,0.0406590596717,
linear,MI,1,1,0.956770833333,1.79708333333,0.0112316366969,
linear,MI,1,2,0.497395833333,0.984583333333,0.095750708775,
linear,MI,1,3,0.6953125,1.36625,0.0672591628961,
linear,MI,1,4,0.6109375,1.175625,0.0661526135081,
linear,MI,1,5,0.7859375,1.55625,0.0484948759444,
linear,MI,1,6,0.844270833333,1.60958333333,0.0331311124643,
linear,MI,1,7,0.848958333333,1.65833333333,0.0322019712975,
linear,MI,1,8,0.866666666667,1.61354166667,0.0281222180043,
linear,MI,1,9,0.195833333333,0.422708333333,0.201929376784,
linear,MI,1,10,0.942708333333,1.80083333333,0.0152518687415,
linear,MI,1,11,0.9875,1.87625,0.00331603406877,
linear,MI,1,12,0.615625,1.205,0.0907157927409,
linear,MI,1,13,0.923958333333,1.76645833333,0.0162474515395,
linear,MI,1,14,0.833333333333,1.62583333333,0.0357570654705,
linear,MI,1,15,0.442708333333,0.970833333333,0.147435912474,
linear,MI,1,16,0.230208333333,0.487708333333,0.180515154138,
linear,MI,1,17,0.4484375,0.875625,0.125826105231,
linear,MI,1,18,0.6375,1.30875,0.0995175619077,
linear,MI,1,19,0.9828125,1.865,0.00505514705882,
linear,MI,1,20,0.830208333333,1.53770833333,0.0337403648282,
linear,MI,1,21,0.465104166667,0.883541666667,0.113872466262,
linear,MI,1,22,0.430729166667,0.764166666667,0.106649784534,
linear,MI,1,23,0.590104166667,1.20916666667,0.114498989621,
linear,MI,1,24,0.670833333333,1.28458333333,0.0804196159301,
linear,MI,1,25,0.227083333333,0.448958333333,0.167284502452,
linear,MI,1,26,0.977083333333,1.84270833333,0.00569638446789,
linear,MI,1,27,0.411458333333,0.817083333333,0.152471539887,
linear,MI,2,28,0.841145833333,1.57270833333,0.0139473596432,
linear,MI,2,29,0.941666666667,1.77166666667,0.0145984575271,
linear,MI,2,30,0.991666666667,1.87916666667,0.00188483104114,
linear,MI,2,31,0.993229166667,1.88479166667,0.00135433386838,
linear,MI,2,32,0.491145833333,0.935833333333,0.0835480470588,
linear,MI,2,33,0.58125,1.1475,0.0774676835773,
linear,MI,2,34,0.988020833333,1.86770833333,0.00282894843448,
linear,MI,2,35,0.939583333333,1.74208333333,0.0148131204719,
linear,MI,2,36,0.344791666667,0.649791666667,0.125124809361,
linear,MI,2,37,0.824479166667,1.56916666667,0.0485852821249,
linear,MI,2,38,0.967708333333,1.84583333333,0.00987480318363,
linear,MI,2,39,0.780729166667,1.51479166667,0.0500794035018,
linear,MI,2,40,0.964583333333,1.83708333333,0.0101990746368,
linear,MI,2,41,0.5671875,1.11625,0.101741095069,
linear,MI,2,42,0.586458333333,1.15958333333,0.0931892225513,
linear,MI,2,43,0.425,0.87875,0.126856972975,
linear,MI,2,44,0.505208333333,1.04333333333,0.122062569146,
linear,MI,2,45,0.814583333333,1.56083333333,0.0485225211535,
linear,MI,2,46,0.364583333333,0.733333333333,0.159834685971,
linear,MI,2,47,0.373958333333,0.817708333333,0.16087118755,
linear,MI,2,48,0.375,0.845,0.161810184564,
linear,MI,2,49,0.824479166667,1.58979166667,0.047804771903,
linear,MI,2,50,0.870833333333,1.63020833333,0.0266653910757,
linear,MI,2,51,0.924479166667,1.77291666667,0.0162638387081,
linear,MI,2,52,0.461979166667,0.903541666667,0.135110916092,
linear,MI,2,53,0.246875,0.52375,0.173376746372,
linear,MI,2,54,0.384895833333,0.728333333333,0.139065212244,
threshold,AI,1,1,0.4484375,-0.0317708333333,0.185475916783,0.5
threshold,AI,1,2,0.4390625,-0.0223958333333,0.221224040981,0.5
threshold,AI,1,3,0.547916666667,0.24375,0.134050093185,0.95
threshold,AI,1,4,0.505729166667,0.2859375,0.109337925287,0.95
threshold,AI,1,5,0.559895833333,0.1484375,0.200207837132,0.85
threshold,AI,1,6,0.241145833333,-0.1578125,0.290875349997,0.1
threshold,AI,1,7,0.46875,-0.09375,0.225951837667,0.45
threshold,AI,1,8,0.4453125,-0.153645833333,0.200999828775,0.35
threshold,AI,1,9,0.58125,0.210416666667,0.141105864804,0.95
threshold,AI,1,10,0.538020833333,0.0453125,0.173761646206,0.7
