seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090900,250,250,0.497652083333,0.959678333333,0.103235437764,,0.312,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090901,250,250,0.535939583333,1.01853833333,0.0911507496361,,0.216,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090902,250,250,0.493875,0.959845,0.105193080725,,0.296,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090903,250,250,0.48413125,0.93446,0.106590661762,,0.328,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090904,250,250,0.49523125,0.95843,0.103826847387,,0.264,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090905,250,250,0.499445833333,0.959943333333,0.103680835224,,0.32,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090906,250,250,0.502666666667,0.971911666667,0.10011416805,,0.272,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090907,250,250,0.558235416667,1.06909166667,0.0890611090252,,0.268,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090908,250,250,0.501204166667,0.954574166667,0.0984585123709,,0.336,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090909,250,250,0.480360416667,0.933926666667,0.108265778022,,0.32,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090910,250,250,0.518722916667,0.975056666667,0.0909317699819,,0.352,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090911,250,250,0.502033333333,0.985730833333,0.105763195848,,0.268,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090912,250,250,0.49595,0.96085,0.101344269181,,0.244,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090913,250,250,0.4889625,0.941425,0.107148721156,,0.316,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090914,250,250,0.506991666667,0.981906666667,0.103713356598,,0.316,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090915,250,250,0.48013125,0.917505,0.103457838082,,0.28,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090900,500,250,0.4508,0.86453,0.109028752908,,0.326,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090901,500,250,0.48619375,0.92615,0.104010614838,,0.28,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090902,500,250,0.500295833333,0.951920833333,0.0975764804055,,0.306,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090903,500,250,0.499675,0.9620325,0.101031607031,,0.278,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090904,500,250,0.500539583333,0.968563333333,0.102314739076,,0.284,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090905,500,250,0.688835416667,1.34147666667,0.0669950071874,,0.198,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090906,500,250,0.474052083333,0.918560833333,0.108243686959,,0.288,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090907,500,250,0.520277083333,0.984403333333,0.0943728938485,,0.284,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090908,500,250,0.540945833333,1.03924083333,0.092636649052,,0.298,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090909,500,250,0.525604166667,1.00857916667,0.095941146651,,0.284,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090910,500,250,0.631052083333,1.20175083333,0.0632578356893,,0.246,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090911,500,250,0.492108333333,0.961750833333,0.109521443383,,0.196,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090912,500,250,0.534729166667,1.02681916667,0.0917937501791,,0.286,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090913,500,250,0.512864583333,0.982068333333,0.101187982806,,0.338,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090914,500,250,0.45546875,0.9032575,0.121022039905,,0.28,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090915,500,250,0.506533333333,0.963603333333,0.0973209847804,,0.256,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090900,750,250,0.48828125,0.922105,0.0985135936044,,0.349333333333,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090901,750,250,0.487452083333,0.932930833333,0.105967947989,,0.301333333333,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090902,750,250,0.478208333333,0.929585833333,0.111011192585,,0.313333333333,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090903,750,250,0.49550625,0.9518075,0.105237969842,,0.292,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090904,750,250,0.524095833333,1.00785583333,0.10158208873,,0.256,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090905,750,250,0.70581875,1.3676,0.0622688419185,,0.145333333333,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090906,750,250,0.532260416667,1.01630416667,0.0940210242953,,0.285333333333,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090907,750,250,0.519085416667,1.03066666667,0.109225882837,,0.202666666667,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090908,750,250,0.598991666667,1.18093166667,0.0869799331496,,0.238666666667,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090909,750,250,0.570741666667,1.05791666667,0.0733742011536,,0.270666666667,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090910,750,250,0.506666666667,0.976679166667,0.103835924018,,0.248,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090911,750,250,0.481964583333,0.931938333333,0.108064075731,,0.230666666667,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090912,750,250,0.501210416667,0.953219166667,0.0988336739571,,0.288,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090913,750,250,0.521297916667,0.999704166667,0.0967130047196,,0.348,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090914,750,250,0.536002083333,1.04269333333,0.095245588525,,0.253333333333,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090915,750,250,0.591347916667,1.10826666667,0.0745146752303,,0.218666666667,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090900,1000,250,0.514764583333,0.978613333333,0.0913829951728,,0.35,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090901,1000,250,0.501385416667,0.964916666667,0.102808977984,,0.295,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090902,1000,250,0.4929,0.936975,0.103448872266,,0.338,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090903,1000,250,0.477329166667,0.914334166667,0.105636924758,,0.295,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090904,1000,250,0.497972916667,0.964211666667,0.104403348841,,0.266,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090905,1000,250,0.490708333333,0.943688333333,0.104331001387,,0.199,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090906,1000,250,0.478347916667,0.932794166667,0.111372641791,,0.284,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090907,1000,250,0.532291666667,1.05916666667,0.107399792822,,0.152,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090908,1000,250,0.495272916667,0.947171666667,0.101212603419,,0.244,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090909,1000,250,0.495241666667,0.947321666667,0.105709536357,,0.28,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090910,1000,250,0.515047916667,0.983694166667,0.0993691977697,,0.258,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090911,1000,250,0.497347916667,0.951831666667,0.0976821632319,,0.243,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090912,1000,250,0.499764583333,0.964425833333,0.105207685136,,0.293,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090913,1000,250,0.447760416667,0.866501666667,0.11561154043,,0.338,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090914,1000,250,0.51745625,1.0087825,0.0988844791437,,0.251,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090915,1000,250,0.4764375,0.926275,0.106393048084,,0.221,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090900,1250,250,0.48645,0.934015,0.103382049978,,0.3248,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090901,1250,250,0.484995833333,0.933560833333,0.106149864086,,0.3032,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090902,1250,250,0.581579166667,1.12340166667,0.0862125525916,,0.312,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090903,1250,250,0.489870833333,0.922355833333,0.102886050504,,0.2912,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090904,1250,250,0.503514583333,0.958280833333,0.101106925783,,0.2664,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090905,1250,250,0.492195833333,0.956100833333,0.104340676432,,0.2256,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090906,1250,250,0.504847916667,0.960846666667,0.0979394913241,,0.2928,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090907,1250,250,0.532291666667,1.05916666667,0.107399792822,,0.1216,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090908,1250,250,0.491995833333,0.938943333333,0.104009351613,,0.2664,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090909,1250,250,0.529360416667,1.04383916667,0.10158751738,,0.2512,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090910,1250,250,0.56701875,1.13078,0.0912528371627,,0.2336,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090911,1250,250,0.503539583333,0.969280833333,0.0994486342174,,0.2584,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090912,1250,250,0.660027083333,1.27045083333,0.0744485132048,,0.256,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090913,1250,250,0.520985416667,0.997336666667,0.0934345975825,,0.328,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090914,1250,250,0.504489583333,0.967740833333,0.0990135753313,,0.2512,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090915,1250,250,0.579295833333,1.11168833333,0.0884801585028,,0.2192,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090900,1500,250,0.5178875,0.990915,0.0951038987374,,0.322,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090901,1500,250,0.446629166667,0.876789166667,0.11912693007,,0.314666666667,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090902,1500,250,0.50970625,0.976015,0.10142601952,,0.322666666667,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090903,1500,250,0.5370625,1.02707,0.091293187684,,0.285333333333,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090904,1500,250,0.565466666667,1.07263166667,0.0837761885174,,0.270666666667,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090905,1500,250,0.45079375,0.877085,0.118105398813,,0.235333333333,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090906,1500,250,0.486395833333,0.937523333333,0.102590667321,,0.304666666667,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090907,1500,250,0.5278875,1.05297,0.108891658993,,0.102666666667,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090908,1500,250,0.51078125,0.9828925,0.100695300557,,0.269333333333,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090909,1500,250,0.58125,1.164375,0.0870650520296,,0.209333333333,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090910,1500,250,0.531839583333,1.01606583333,0.0962245096608,,0.244,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090911,1500,250,0.484233333333,0.931383333333,0.104308111316,,0.27,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090912,1500,250,0.4807625,0.9401775,0.106720681037,,0.26,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090913,1500,250,0.4701875,0.8982975,0.10899730838,,0.337333333333,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090914,1500,250,0.802697916667,1.50856166667,0.0345120894412,,0.212666666667,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090915,1500,250,0.52054375,0.99698,0.0971133930919,,0.23,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090900,1750,250,0.562389583333,1.06432583333,0.083111061439,,0.313142857143,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090901,1750,250,0.470220833333,0.905023333333,0.115051311545,,0.305714285714,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090902,1750,250,0.56475625,1.099105,0.0860110533243,,0.305142857143,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090903,1750,250,0.693952083333,1.34899083333,0.0588097579725,,0.253142857143,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090904,1750,250,0.507370833333,0.970798333333,0.0996678852307,,0.288571428571,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090905,1750,250,0.510241666667,0.972219166667,0.0991364086482,,0.248,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090906,1750,250,0.519222916667,0.986329166667,0.0973415166061,,0.306285714286,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090907,1750,250,0.511908333333,0.976813333333,0.101200751105,,0.14,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090908,1750,250,0.5140125,0.9857725,0.0967472749681,,0.276571428571,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090909,1750,250,0.54958125,1.0735625,0.091643528592,,0.202285714286,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090910,1750,250,0.53053125,1.024825,0.0964351296427,,0.252,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090911,1750,250,0.459866666667,0.890766666667,0.11268015679,,0.28,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090912,1750,250,0.484408333333,0.923323333333,0.103479306049,,0.275428571429,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090913,1750,250,0.518210416667,1.02282166667,0.106226594554,,0.321142857143,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090914,1750,250,0.480470833333,0.931930833333,0.115682772123,,0.214857142857,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090915,1750,250,0.513695833333,0.984553333333,0.0990650773482,,0.227428571429,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090900,2000,250,0.48523125,0.92414,0.103907177608,,0.3165,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090901,2000,250,0.483908333333,0.936058333333,0.105427942032,,0.3085,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090902,2000,250,0.498572916667,0.962806666667,0.104250933408,,0.296,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090903,2000,250,0.7421875,1.441875,0.0475250334264,,0.2215,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090904,2000,250,0.529725,1.0237775,0.0984470880244,,0.282,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090905,2000,250,0.487645833333,0.957588333333,0.112379009979,,0.2595,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090906,2000,250,0.529133333333,0.999215833333,0.0937438044288,,0.3095,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090907,2000,250,0.502220833333,0.967505833333,0.100089012049,,0.1655,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090908,2000,250,0.49706875,0.9471075,0.0978449329078,,0.2805,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090909,2000,250,0.480254166667,0.922869166667,0.102845584597,,0.21,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090910,2000,250,0.676125,1.2986025,0.05434968256,,0.2235,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
2026090911,2000,250,0.50265,0.9755225,0.108746266028,,0.2835,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250
