"game","treatment","step","surplus","p10","p90"
"threshold","AI",1500,0.0813998697916772,-0.2530770833333,0.2725968750003
"linear","FE",1500,1.39280223958344,1.176199750003,1.649143833333
"threshold","FE",1500,0.182920377604125,0.113020833333,0.291465416667
"linear","MI",1500,1.04026455729169,0.9085106666667,1.209066833333
"threshold","MI",1500,0.159366992187437,-0.1747550000003,0.3125654166667
"linear","AI",1750,1.75800242187531,1.365730583336,2.06051533333
"threshold","AI",1750,0.132159570312437,-0.207290416667,0.266254375
"linear","FE",1750,1.40569930989584,1.14454083333,1.647944833336
"threshold","FE",1750,0.188075455729125,0.1120458333333,0.2994447916667
"linear","MI",1750,1.06227236979141,0.9281387500003,1.323653916664
"threshold","MI",1750,0.168984635416697,-0.12922479166637,0.3029866666667
"linear","AI",2000,1.7456562760425,1.437830500003,2.06098783333
"threshold","AI",2000,0.137356380208344,-0.211380625,0.2795020833336
"linear","FE",2000,1.3940742578125,1.133603625003,1.790563958333
"threshold","FE",2000,0.194544726562406,0.09646645833327,0.300169583333
"linear","MI",2000,1.12166427083313,0.9362061666664,1.392812083333
"threshold","MI",2000,0.188294856770719,-0.0977481250003,0.3114887499997
"linear","AI",2250,1.74107682291594,1.39661708333,2.04506991667
"threshold","AI",2250,0.136562825520875,-0.1468070833333,0.28664375
"linear","FE",2250,1.41587645833312,1.18003508333,1.78727633333
"threshold","FE",2250,0.204517903645853,0.114890625,0.3025145833333
"linear","MI",2250,1.05479880208325,0.9301352500003,1.229550833336
"threshold","MI",2250,0.195869921875031,-0.0909889583333001,0.321974166667
"linear","AI",2500,1.67874976562531,1.344143583333,2.02761075
"threshold","AI",2500,0.143084244791687,-0.208398125,0.2831104166667
"linear","FE",2500,1.45676967447906,1.12277,1.722981791664
"threshold","FE",2500,0.202529427083353,0.118632916667,0.302083333333
"linear","MI",2500,1.10824916666666,0.9392346666664,1.347426666667
"threshold","MI",2500,0.205309244791625,-0.0985039583336001,0.3194797916664
"linear","AI",2750,1.68005804687531,1.360396500003,2.079718000003
"threshold","AI",2750,0.134239453125013,-0.20916625,0.2745935416664
"linear","FE",2750,1.44724550781281,1.194536749997,1.724449374997
"threshold","FE",2750,0.201255533854116,0.1198602083333,0.282457083333
"linear","MI",2750,1.11278494791616,0.9083887499997,1.426188749997
"threshold","MI",2750,0.206046614583312,-0.0896231249997001,0.316979166667
"linear","AI",3000,1.72456153645844,1.40244908333,2.079437666667
"threshold","AI",3000,0.121201822916697,-0.2167716666664,0.2904687499997
"linear","FE",3000,1.40047101562437,1.11590233333,1.731812499997
"threshold","FE",3000,0.216006119791584,0.122395833333,0.2854962499997
"linear","MI",3000,1.09308270833334,0.9371179166667,1.318954750003
"threshold","MI",3000,0.210939192708281,-0.0931312500000001,0.3262645833336
"linear","AI",3250,1.75919018229219,1.396489583333,2.085377
"threshold","AI",3250,0.146514973958397,-0.1502508333333,0.2905229166664
"linear","FE",3250,1.39972937500031,1.073614208333,1.74088154167
"threshold","FE",3250,0.222624479166584,0.122612708333,0.295
"linear","MI",3250,1.09128789062572,0.9094525,1.383157166667
"threshold","MI",3250,0.211013736979156,-0.0812512500000001,0.3264522916667
"linear","AI",3500,1.75652424479156,1.405504416664,2.0840625
"threshold","AI",3500,0.159289778645813,-0.1830402083336,0.298098333333
"linear","FE",3500,1.485265546875,1.208923375,1.845711083336
"threshold","FE",3500,0.22587161458325,0.130208333333,0.3028045833333
"linear","MI",3500,1.0623056510415,0.9344731666667,1.212038083333
"threshold","MI",3500,0.207958658854197,-0.12331854166697,0.3291666666664
"linear","AI",3750,1.72478500000125,1.425701250003,2.084229166667
"threshold","AI",3750,0.161822460937509,-0.1683689583333,0.3013662500003
"linear","FE",3750,1.47303263020812,1.135945708336,1.839998875003
"threshold","FE",3750,0.229224544270813,0.129499583333,0.300625
"linear","MI",3750,1.07271101562522,0.93176025,1.201222583333
"threshold","MI",3750,0.208068229166719,-0.1122827083336,0.3189904166667
"linear","AI",4000,1.70692296875031,1.406608749997,2.0840625
"threshold","AI",4000,0.1709090494792,-0.17616020833333,0.3019625000003
"linear","FE",4000,1.43575652343719,1.11330908333,1.847598500003
"threshold","FE",4000,0.227777213541688,0.129126041667,0.293883958333
"linear","MI",4000,1.0340117968755,0.9105760833333,1.210957250003
"threshold","MI",4000,0.194660807291656,-0.1606920833333,0.3190425000003
"linear","AI",4250,1.70593174479187,1.340710333333,2.121870999997
"threshold","AI",4250,0.172720507812459,-0.17656145833303,0.293489583333
"linear","FE",4250,1.4322340885425,1.141281166664,1.821604583336
"threshold","FE",4250,0.227860026041625,0.129166666667,0.3012902083333
"linear","MI",4250,1.05933648437509,0.9331434166667,1.322306916664
"threshold","MI",4250,0.1969265625,-0.1498420833333,0.329805833333
"linear","AI",4500,1.77506057291719,1.3883555,2.20586191667
"threshold","AI",4500,0.163801692708272,-0.1788775,0.291036458333
"linear","FE",4500,1.49406196614594,1.154237333333,1.781962416664
"threshold","FE",4500,0.228448763020875,0.129166666667,0.30296875
"linear","MI",4500,1.08813223958269,0.9150830833333,1.330342833336
"threshold","MI",4500,0.20897063802075,-0.1008566666664,0.3085545833336
"linear","AI",4750,1.74269796874969,1.341585333336,2.203445000003
"threshold","AI",4750,0.163759505208344,-0.168883125,0.293854166667
"linear","FE",4750,1.46946722656219,1.108556625003,1.799740708336
"threshold","FE",4750,0.229812565104156,0.129166666667,0.3035937499997
"linear","MI",4750,1.12652815104178,0.92908975,1.409592999997
"threshold","MI",4750,0.206590169270803,-0.11260708333363,0.30733
"linear","AI",5000,1.74414260416625,1.382508083336,2.13452083333
"threshold","AI",5000,0.167062760416616,-0.1359681250003,0.2946091666667
"linear","FE",5000,1.47890617187469,1.177919874997,1.789871874997
"threshold","FE",5000,0.230040559895813,0.1292754166667,0.3008929166667
"linear","MI",5000,1.09463911458284,0.9418484166667,1.30511783333
"threshold","MI",5000,0.204415299479125,-0.1369968750003,0.3214250000003
"linear","AI",5250,1.76287940104094,1.427123500003,2.099105000003
"threshold","AI",5250,0.171458984375031,-0.1295452083336,0.2897733333336
"linear","FE",5250,1.46932428385406,1.179751375,1.80540616667
"threshold","FE",5250,0.231449283854188,0.129523958333,0.3013445833336
"linear","MI",5250,1.06521796875053,0.931662916667,1.282756000003
"threshold","MI",5250,0.209479492187499,-0.065440208333363,0.3211687500003
"linear","AI",5500,1.80535020833312,1.404320583336,2.181189000003
"threshold","AI",5500,0.175557747395897,-0.14114083333303,0.288548125
"linear","FE",5500,1.48725514322875,1.227809458333,1.81080166667
"threshold","FE",5500,0.234801041666656,0.130237291667,0.3057591666664
"linear","MI",5500,1.04873473958309,0.8928127499997,1.295734500003
"threshold","MI",5500,0.223764062499969,0.1146370833333,0.3152774999997
"linear","AI",5750,1.826167265625,1.43418508333,2.20247916667
"threshold","AI",5750,0.179846158854169,-0.0964052083333,0.2969237500003
"linear","FE",5750,1.48867110677063,1.184722916664,1.79388504167
"threshold","FE",5750,0.2338392578125,0.1291029166664,0.30585875
"linear","MI",5750,1.08722544270759,0.9352872500003,1.33296583333
"threshold","MI",5750,0.226712890625063,0.165747291667,0.3271875000003
"linear","AI",6000,1.80954984374969,1.417186333333,2.180383999997
"threshold","AI",6000,0.181446484375022,-0.14004208333333,0.2965268750003
"linear","FE",6000,1.46341751302094,1.15323175,1.87229166667
"threshold","FE",6000,0.23227884114575,0.128333333333,0.3022143750003
"linear","MI",6000,1.06845523437478,0.9082659999997,1.296118333333
"threshold","MI",6000,0.227933723958406,0.165982916667,0.309359375
