"game","treatment","step","surplus","p10","p90"
"linear","AI",250,1.49843153645813,1.296366166664,1.691473583333
"threshold","AI",250,-0.0692466796874375,-0.2091764583333,0.1436872916664
"linear","FE",250,1.2268957421875,1.07647970833,1.406687333333
"threshold","FE",250,0.0770560546875228,-0.08440770833333,0.194773333333
"linear","MI",250,0.999427213541969,0.912086666667,1.105944166664
"threshold","MI",250,0.0425212890624906,-0.1536600000003,0.226520208333
"linear","AI",500,1.59741265625031,1.332099416667,1.95025891667
"threshold","AI",500,-0.04414733072905,-0.277393333333,0.2601441666664
"linear","FE",500,1.32690421874937,1.13059558333,1.581079500003
"threshold","FE",500,0.127673828125019,-0.12728104166637,0.284954583333
"linear","MI",500,1.0307417968755,0.9310020833333,1.173650166664
"threshold","MI",500,0.124538606770834,-0.1308427083333,0.275387708333
"linear","AI",750,1.61468906250062,1.38494666667,1.873597916667
"threshold","AI",750,0.0140638020833353,-0.2461575000003,0.2787095833336
"linear","FE",750,1.36471872395875,1.128344249997,1.66118654167
"threshold","FE",750,0.173118619791729,0.00922541666669696,0.2851522916664
"linear","MI",750,1.02366513020863,0.9054481666664,1.157449583333
"threshold","MI",750,0.155055794270762,-0.1623112500003,0.302548333333
"linear","AI",1000,1.67729473958344,1.3475945,2.014811916664
"threshold","AI",1000,0.0476897135416562,-0.2181227083336,0.2743529166667
"linear","FE",1000,1.37185740885437,1.143488041667,1.679907624997
"threshold","FE",1000,0.160669466145866,-0.0732139583332701,0.28302125
"linear","MI",1000,1.06192281249987,0.902269833333,1.348874999997
"threshold","MI",1000,0.187695377604116,-0.14196395833333,0.304547916667
"linear","AI",1250,1.75733757812406,1.483212083336,2.025639583333
"threshold","AI",1250,0.0627759765625,-0.238610625,0.2728218750003
"linear","FE",1250,1.36927971354188,1.121991750003,1.691397583336
"threshold","FE",1250,0.180816731770813,0.1135770833336,0.290369791667
"linear","MI",1250,1.0530817447915,0.8861156666664,1.20733358333
"threshold","MI",1250,0.162923763020763,-0.1683729166664,0.3045320833336
"linear","AI",1500,1.75623187499938,1.41421908333,2.08406033333
