"experiment","game","treatment","metric","mean_difference","paired_mc_se","n_seeds","n_matched","join_match_rate","join_row_inflation"
"initial_zero","threshold","MI","success",-0.905621875,0.0505561493552486,16,16,1,0
"initial_full","linear","FE","group_relative_contribution",0.08324186197925,0.0274504903069481,16,16,1,0
"initial_full","linear","FE","surplus",0.183132096355625,0.0603910786753403,16,16,1,0
"initial_full","linear","FE","gini",-0.00981561563138375,0.00343103924531703,16,16,1,0
"initial_full","linear","AI","group_relative_contribution",0.0336280598958125,0.0291186445301742,16,16,1,0
"initial_full","linear","AI","surplus",0.073156380208125,0.0701910707831449,16,16,1,0
"initial_full","linear","AI","gini",-0.004018470979905,0.00444225488336417,16,16,1,0
"initial_full","linear","MI","group_relative_contribution",0,0,16,16,1,0
"initial_full","linear","MI","surplus",0,0,16,16,1,0
"initial_full","linear","MI","gini",0,0,16,16,1,0
"initial_full","threshold","FE","group_relative_contribution",0.365153059895937,0.029930426038994,16,16,1,0
"initial_full","threshold","FE","surplus",-0.351215559895625,0.0264853643256243,16,16,1,0
"initial_full","threshold","FE","gini",-0.00464956173085487,0.00171397351737098,16,16,1,0
"initial_full","threshold","FE","success",0.016725,0.00851798166931286,16,16,1,0
"initial_full","threshold","AI","group_relative_contribution",0.154474430338437,0.044106189193166,16,16,1,0
"initial_full","threshold","AI","surplus",-0.1246899251301,0.0718392633240978,16,16,1,0
"initial_full","threshold","AI","gini",-0.0293576761096392,0.0182750553165555,16,16,1,0
"initial_full","threshold","AI","success",0.03574140625,0.101783033679225,16,16,1,0
"initial_full","threshold","MI","group_relative_contribution",0.148755175781375,0.04457474778645,16,16,1,0
"initial_full","threshold","MI","surplus",-0.106887988281313,0.0485158253038797,16,16,1,0
"initial_full","threshold","MI","gini",-0.0301561555139,0.0122626840249401,16,16,1,0
"initial_full","threshold","MI","success",0.050240625,0.0572601768213247,16,16,1,0
"longer","linear","FE","group_relative_contribution",0.0108125162760625,0.0252770789395943,16,16,1,0
"longer","linear","FE","surplus",0.023787535808125,0.0556095736671917,16,16,1,0
"longer","linear","FE","gini",-0.001268950013575,0.00333963427191301,16,16,1,0
"longer","linear","AI","group_relative_contribution",0.0463250244141875,0.0294722338805049,16,16,1,0
"longer","linear","AI","surplus",0.109947177735625,0.0747603689835398,16,16,1,0
"longer","linear","AI","gini",-0.0063254524772625,0.00537929849591213,16,16,1,0
"longer","linear","MI","group_relative_contribution",-0.00416656087243748,0.0140600960799931,16,16,1,0
"longer","linear","MI","surplus",-0.00528309895875002,0.0257233346562625,16,16,1,0
"longer","linear","MI","gini",0.00149680706141875,0.00337310258399574,16,16,1,0
"longer","threshold","FE","group_relative_contribution",-0.00829019368481251,0.00414178320903246,16,16,1,0
"longer","threshold","FE","surplus",0.0133722249350625,0.00537343917478495,16,16,1,0
"longer","threshold","FE","gini",-0.00363975543260312,0.000922715164431068,16,16,1,0
"longer","threshold","FE","success",0.0060984375,0.00429647518973281,16,16,1,0
"longer","threshold","AI","group_relative_contribution",0.00303002115876874,0.0211754431353515,16,16,1,0
"longer","threshold","AI","surplus",0.0370253173828812,0.0226967384584467,16,16,1,0
"longer","threshold","AI","gini",-0.0100152505803125,0.00738293867317706,16,16,1,0
"longer","threshold","AI","success",0.04806640625,0.0495249242900569,16,16,1,0
"longer","threshold","MI","group_relative_contribution",0.0177134765625,0.0225114792872126,16,16,1,0
"longer","threshold","MI","surplus",0.0318548828125188,0.0251565319458879,16,16,1,0
"longer","threshold","MI","gini",-0.0132729699252438,0.00943837507210434,16,16,1,0
"longer","threshold","MI","success",0.05948203125,0.0514165641371304,16,16,1,0
"no_fairness","linear","FE","group_relative_contribution",-0.04049206542975,0.0225538318827571,16,16,1,0
"no_fairness","linear","FE","surplus",-0.08908254394375,0.0496184301423712,16,16,1,0
